客户触发,我方回复
我也不是很懂 你们之前也给iatd翻译过文件吧,可以说iatd 大量的翻译都是我们做的 只是去年开始翻译少了 因为你们同事都自己翻译的 我们排版的 之前网页那种sku 都是几万 十几万的都是我们做的
报价单是一份,这我知道 我的意思 那你们肯定重新出报价单了 排版也是Lionbridge做的？
希望不要翻译的内容，我们同事都要大改 本次活动新闻稿，让翻译公司的人也先读下,多谢分享，这样资料充分些~~
收到报价了哟 多谢,嫑客气 我还在等老师回复，但放心，会安排好的
完了完了 现在还来得及不 下周一下午2点到四点,我马上联系下哦，老时间老地方？ 晶耀？ 我联系老师，然后发报价给你哦
上海开票资料 名 称：上海甲佳智能科技有限公司 纳税人识别号：91310117MA1J3ULR9Y 地址：上海市松江区九亭镇九亭中心路 1158 号 21 幢 905室-1 开户行：中国银行上海市徐泾支行 账号：452078800175 可以的,我能把30%的发票开出来吗
韩总您好 翻译文件帮忙报下价格 这个文件会涉及到对外付汇，麻烦看下最终出来的中文翻译稿是否需要加盖贵司的章？,下午好呀 文件收到了，稍候给你报价哈 翻译完成后我盖章+营业执照快递给你 报价发你邮箱了，确认回复我就可以工作了 有什么问题随时找我
好的，看到了 往下安排吧 邮件已回 好的，谢谢,收到，已安排了，周四交稿给你哈
韩总您好 我这边有份新的KBIS文件需要翻译 帮忙报个价,早上好呀 您发我吧，我尽快回复你报价哈
早，韩总 问了财务了，本周安排付款,好的，谢谢啦 新的认证资料来了吗
好的，我来安排,现在还是不用走PO，就90天付款是吧
同步也咨询了其他机构，报价200-300（单价）这样，价差有点大[捂脸],这个价格就是机器出来，然后排个版，估计人工校核都没有 这个价格实在做不了
嗯嗯 价格偏高了些,预算大概多少
对翻译质量要求没那么高的呢 比如AI翻译完，人工检查修改下就行 好的 了解,AI出来用人工改太费时间了，AI对这类小语种的用处不大 而且便宜不了多少的 如至少翻译出来提交出去别人要那看得懂 现在是我预估的价格定下来了，确定需要翻译可以把文件发我，我确切统计，再向公司申请项目折扣
好的 了解了 10万字的话 单价多少啊 中文翻译成印尼语 好的 了解,530元/千中文字符 保证是人工翻译，不是AI翻译 这类小语种AI翻译出来，送到当地是看不懂的
是中文翻译成印尼语,按目前字数计算，我申请项目折扣后，估计费用在4万元左右 含税价，6%增值税专用发票 交稿时间一周太紧了，预计交稿时间在10-14天，具体要看一下文件情况 交稿我们可以与原稿排版基本一致，包括图片，您可以直接提交客户的
时间也可以放宽些,6.3万印尼单词翻到中文预计超过10万中文字了
[抱拳]麻烦今天给个报价呢 产品说明书 一周左右,哪方面的资料，合同还是技术或其他
咨询下，印尼语翻译的话，报价多少啊？大概280页的文件，翻译周期需要多久啊？,印尼语是小语种，周期会比英文慢些 而且印尼语还分的，能不能发部分内容给我看看
领导那边还在沟通，有消息再反馈啊 好的~,好的，如果有进一步消息随时找我，根据文件我会尽力申请最优的价格
127+300+5+100+5 537一共,引用：537一共；回复：整套设计+打样对吧 我这么理解对哇， 先付537元，出设计+打样， 打样确认后，签大货合同，安排大货。（打样金额大货可以抵扣吗）
设计简易的免费，帮您分层 打样要一整套打样？ 还是就顶部分层,一整套哦 打样确认后，再安排大货
那费用另外算 要加钱哈 我核算下给你,大概知道下就行 设计+打样，是多少费用呀
大货拍照，视频确认后,也可以 引用：1688要扣点；回复：1688呢，可以走哇
合同是50%定金 做好大货前付50%,引用：做好大货前付50%；回复：发货前付尾款吗
1688要扣点 不可以哈,主要是要先设计和打样 走合同付款怎么操作呀 货到付款可以吗
走合同也行，不走也行,1688上拍
我们是一般纳税人 只能开13个点 普票也行 不能喔,对私的价格，可以开普票吗
大货可以尽量7天 在慈溪噢 宁波慈溪 一天就能到上海,这款纸雕有其他的款式设计过吗 引用：[图片]；回复：请问有没有普票的选项
主要是纸雕画制作工期较长 我们是源头工厂 都是现货 大货7-10天 设计2-3天够了 打样的话也要7天 纸雕画的刀具都是要重新定制过的，所以比较长,引用：纸雕画的刀具都是要重新定制过的，所以比较长；回复：理解的 我这边在上海，你家厂子在哪呀 设计3天，打样7天，打样确认后10天收到大货。 这个时间是比较宽裕的哇，如果加紧的话，估计可以缩短吗 我担心设计会要修改~~ 打样到不担心，你家自己厂子，制作就比较在行了
按200套的价格核算哈,"引用：[图片]；回复：这个价格，都算上定制了哇，小产品上的Logo 这是一条引用/回复消息： ""圆创KuAI定制-王佳 13095985880： [图片]"" ------ 纸雕这块的设计也含了哇 这样的话，请告诉我下大概的工期"
那就是产品有定制位的地方都定制上？》,引用：[图片]；回复：嗯嗯，这些都要Logo 估计会要200套，我还在统计数量中
只定制这个对吧 您要多少 300？,引用：[图片]；回复：图案需要重新设计下 其他就比较普通，印个Logo就行
只有个opp袋套 ok的,引用：设计3天，打样7天，打样确认后7天收到大货。330套，这个时间没问题吧；回复：工期还是按这个ok吗
外面会套个OPP袋 不会塑封,会塑封吗 设计3天，打样7天，打样确认后7天收到大货。330套，这个时间没问题吧
红包不接受定制噢,哦哦，那等礼盒做好，我可以自己把红包放进去吗，不知道最后的包装是怎么样的 还是我做好，快递过来，你帮我放进去呢
174元一套,顺便请问下，你家红包可以做哇
要么我先回复您把翻译老师的时间定下来，场地设备等我们敲定好再开PO 你觉得这样ok吗,可以的哈 我来更新个只翻译的邮件 （不含设备）
如果换成第一种开会形式的纯翻译，PO是否需要重新一份报价,嗯 那我更新个邮件给你 只是翻译的价格？ 到时候要设备我们增加？ 反正合计是这么多 嗯，您意思PO翻译先单开？ 还是等最终定了设备一起开，我都可以 反正HR这里一直合作来着的
David早，我们确定6.20是需要搭建翻译间的，设备配置跟上次活动一样 地点这次是静华305房间 可以的,那我就把上次和这次一起合并报价单给你 好像说上次没申请 等最终形式定了再申请
应该可以的，我这两天确认一下，上周同事休假去了,谢谢 因为等着book翻译的时间
引用：价格邮件你了，也帮我确认下；确认了，谢谢,收到，我来安排 了
字体应该不会变了，是公司的字体,等你们加内容吧，现在是84页，加了内容价格会变哦，你知道下哈
她要找会议翻译 我们之前好像找你找过 你记得不 回来了 下周又要走 好忙呀 嗯嗯好,联系过她啦，等她把邮件地址给我，我报价给她
公司名称：漳州兮璞材料科技有限公司 公司税号：91350623MA353FLR93 公司地址：福建省漳州市古雷港经济开发区古雷镇下林路166号10区7幢1202室 18616528743,收到，谢谢啦 缺银行的信息 [OK]
韩经理原件需要寄给你吗 周四付款,没事，不用了 我可以开票了吗 好的，谢谢 兮璞的开票信息发我一下吧
应该都是只有一页，对吧？,我回报价给你哈
hello 盛总，您这边有提供将其他语言（非中文）翻译成英语的服务吗 印度语,有的呢，严小姐 您需要哪个语种呢
视频的要不单独结算吧 不是还有打印费用吗,好的，我都可以 意思协议里面不列明这个是吧
到时候邮件转给我我直接转给领导申请用印,是不是得把视频加上。明天我列给你看下 他前天找我做了视频的，也是半个月前我发了报价单的 聊天记录转发
那这个400和1000的没有参考标准啊 我,一般没客户特殊要求也不会推，毕竟竞争厉害。那天丁先生特意强调，给我电话说的 好在他这个金额不大
你们跟微创有签署吗 都有一些吧,逻辑上你们量大还是注册那些，那些还是便宜的150单价哦 之前也是这个单价，不过现在可能也过期了 这个高的单价没，因为之前都是注册文件，量大，也不可能用这类翻译去做。所以没这个明细单价
中译英： 1000元/千中文字符（折后单价，母语翻译）这个也很贵啊,平时这个要500。普通标准的要200
"回了,请给个excel,项目名,单价(by字数?),数量,项目报价,总价",如下 pdf翻译 7030*0.2单价=1406元 pdf排版 130*20P=2600 合计是4006元 视频是听写翻译配字幕 330*10分钟=3300元 合计是7306元 这个视频是要多收些的 因为都是动画 做起来要比以往的复杂程度多的很 这里和你说明下 之前也都是这样操作的 截止到20250608的剩余
